source,destination,weight
26819598,57796266,359.236672830355
26819598,57796265,599.1829529837065
30364616,30364622,460.3666137811068
30364622,35833157,339.1480372775757
34351114,53020998,99.37419802961466
35718715,91846714,1007.269698153332
35718715,35719057,66.82767936151609
35718715,843006075,571.6870113033245
35718864,35719067,835.7435763238356
35718864,35718993,1835.5265533973213
35718864,57800169,1138.403808062065
35718864,91846726,1696.170468013298
35718993,35718864,1835.5265533973218
35718993,35718998,420.143688258718
35718993,57930923,1047.3799865591013
35718998,35719045,2600.150722904347
35718998,35718993,420.14368825871793
35718998,1743748728,2284.1501724359914
35719045,288988750,33.34833477548273
35719045,35719160,151.7323609386262
35719045,35718998,2600.1507229043495
35719045,288988744,27.784302635748475
35719055,2844488378,16.336946386105545
35719055,35719057,107.4210348856831
35719055,53082604,93.02558010670519
35719057,394180765,281.2125582702279
35719057,35718715,66.82767936151609
35719057,35719055,107.4210348856831
35719067,35718864,835.7435763238357
35719067,53030608,768.740719099782
35719067,53064447,547.6540104179186
35719098,1419660758,77.37324494555017
35719098,35719102,204.83960829789945
35719098,53020998,65.39954740149027
35719102,35725887,85.64971873876735
35719102,35719103,19.622526403471745
35719102,35719098,204.83960829789945
35719103,53020995,159.8531958247026
35719103,53055000,70.61095698388955
35719103,35719102,19.622526403471745
35719109,53054999,36.51629216997308
35719109,53147743,198.06502357590048
35719109,35719112,101.7216392403847
35719112,35719115,136.50260070639092
35719112,11374954920,180.58206577751645
35719112,35719109,101.7216392403847
35719115,35719112,136.50260070639092
35719115,52996303,1802.799741238983
35719115,53034977,429.77153188349905
35719160,356071782,246.16263717212374
35719160,52996303,799.3984539911157
35719160,35719045,151.73236093862621
35719172,35719176,164.2476189757839
35719172,11374955290,236.9150871216971
35719172,53147743,149.6941372419451
35719176,35719172,164.2476189757839
35719176,35719236,182.4489515226568
35719176,35719182,194.1979340988087
35719182,35719176,194.19793409880876
35719182,11374955207,330.69922773455045
35719182,35719190,318.465305087099
35719190,35719198,173.90689754589224
35719190,35719182,318.46530508709907
35719190,6378421932,200.58052630979927
35719198,35719245,456.7238000844013
35719198,35719190,173.90689754589224
35719198,11374955207,757.9726264845992
35719236,35719176,182.4489515226568
35719245,35719198,456.7238000844014
35719245,10562148531,209.30929546120063
35719245,10562148486,482.5702515204369
35725887,35719102,85.64971873876735
35833152,86276617,543.6070782574435
35833152,86276624,288.11229081447306
35833153,86276581,556.0204127783311
35833157,53003639,305.1755838301302
35833157,1895821107,860.963770177881
52978704,53082156,82.87318305488552
52978704,53090680,44.169108819040034
52978706,9861927588,190.8467015903135
52978706,52978708,365.98081544983233
52978706,53055629,81.06921729207055
52978706,53058938,173.4384868361439
52978708,52978706,365.98081544983233
52978708,53082160,80.91065816708947
52978708,53111879,83.16298553586148
52978760,430045370,52.579245681343
52978760,30364622,377.86138288810696
52978761,99569227,428.5401744097797
52978858,53039503,196.15738742649165
52978858,53040116,68.03769964689113
52978880,74191172,609.8062501060773
52979290,290107945,56.224747696073436
52979290,52979342,66.28545079492703
52979342,52979349,294.59936471992415
52979349,76015475,189.76473254993374
52979749,669581044,65.9113779031927
52979749,52979754,127.5187038337397
52979749,290107945,779.7873041056686
52979749,52986721,240.14558501563644
52979754,52979749,121.7041587311944
52979754,75763769,151.70223867523111
52979758,430987198,17.9788839517482
52980578,267631984,148.2327911047378
52980624,53055202,163.37173863416766
52980624,53148317,105.95064652040278
52980624,53021369,133.4731969516763
52982359,13204491761,420.86730017867734
52982359,52982363,963.2238732207073
52982361,12012924392,69.45494132699801
52982361,12449832910,23.58032002556019
52982363,53013480,476.3509856937791
52984795,2386672987,48.18474156748283
52984795,12185435590,142.16966247686696
52984795,2386672992,42.308641742760685
52986721,52979758,239.36405150519192
52986721,416335442,14.709388156889135
52987320,35833153,388.5599271339688
52987320,52991882,149.31472824529678
52987337,53077793,132.6702172225747
52987337,240448903,65.20443013213944
52987338,53114435,132.98270203911994
52987338,52987337,94.35778456184276
52987338,52993536,25.065759769707682
52987422,52987426,114.58715100890373
52987422,53007122,215.4189754369663
52987422,53043341,317.8952952422721
52987426,52987422,114.58715100890375
52987426,53025119,1689.717350489862
52987426,53014601,264.62994500644515
